item_id,date,p10,p50,p90
malaysia,2021-01-30T00:00:00Z,3891.2314453125,4794.8881835938,5747.5991210938
malaysia,2021-01-31T00:00:00Z,3373.111328125,4246.5668945312,5358.064453125
malaysia,2021-02-01T00:00:00Z,3253.7971191406,4213.5727539062,5629.486328125
malaysia,2021-02-02T00:00:00Z,3328.5617675781,4402.7426757812,6610.2221679688
malaysia,2021-02-03T00:00:00Z,3412.1889648438,4738.8056640625,7207.279296875
malaysia,2021-02-04T00:00:00Z,2948.9938964844,4830.1337890625,6779.5380859375
malaysia,2021-02-05T00:00:00Z,3213.5119628906,4997.3056640625,6831.0078125
malaysia,2021-02-06T00:00:00Z,3216.3491210938,4833.7993164062,6843.0473632812
malaysia,2021-02-07T00:00:00Z,2605.4025878906,4431.7358398438,7033.5043945312
malaysia,2021-02-08T00:00:00Z,2597.2119140625,4146.2724609375,7389.47265625
malaysia,2021-02-09T00:00:00Z,2851.2451171875,4602.0322265625,7478.49609375
malaysia,2021-02-10T00:00:00Z,2772.9899902344,4692.5048828125,7212.8505859375
malaysia,2021-02-11T00:00:00Z,2612.6196289062,4656.4526367188,8331.2568359375
malaysia,2021-02-12T00:00:00Z,2509.4458007812,4424.5786132812,8847.6572265625
malaysia,2021-02-13T00:00:00Z,2269.2622070312,4191.2836914062,8462.86328125
malaysia,2021-02-14T00:00:00Z,2007.5754394531,3883.9443359375,8359.970703125
malaysia,2021-02-15T00:00:00Z,1991.0029296875,3765.7297363281,9324.466796875
malaysia,2021-02-16T00:00:00Z,2093.8032226562,4089.0419921875,8758.9580078125
malaysia,2021-02-17T00:00:00Z,2152.5573730469,4110.9340820312,8644.08984375
malaysia,2021-02-18T00:00:00Z,1805.7735595703,4025.0170898438,8304.6396484375
malaysia,2021-02-19T00:00:00Z,1870.9771728516,4009.6677246094,8995.068359375
malaysia,2021-02-20T00:00:00Z,2019.7130126953,4026.642578125,9179.7734375
malaysia,2021-02-21T00:00:00Z,1745.7567138672,3686.4387207031,8487.3447265625
malaysia,2021-02-22T00:00:00Z,1459.7867431641,3541.8024902344,7845.896484375
malaysia,2021-02-23T00:00:00Z,1647.46875,3557.7182617188,8983.8681640625
malaysia,2021-02-24T00:00:00Z,1837.2274169922,3934.4467773438,9544.19921875
malaysia,2021-02-25T00:00:00Z,1747.763671875,3905.5864257812,7897.1791992188
malaysia,2021-02-26T00:00:00Z,1711.0571289062,4005.0422363281,9512.1767578125
malaysia,2021-02-27T00:00:00Z,1524.6291503906,3365.0256347656,8823.8798828125
malaysia,2021-02-28T00:00:00Z,1441.0430908203,3397.759765625,7945.2622070312
malaysia,2021-03-01T00:00:00Z,1109.7785644531,3356.4758300781,7868.900390625
malaysia,2021-03-02T00:00:00Z,1319.8505859375,3349.4350585938,8836.5126953125
malaysia,2021-03-03T00:00:00Z,1362.9918212891,3731.9016113281,8344.3984375
malaysia,2021-03-04T00:00:00Z,1183.7933349609,3548.9357910156,8575.078125
malaysia,2021-03-05T00:00:00Z,1339.5412597656,3481.662109375,8977.8955078125
malaysia,2021-03-06T00:00:00Z,1147.5625,3358.2009277344,8705.609375
malaysia,2021-03-07T00:00:00Z,969.8775634766,3098.8581542969,8757.1796875
malaysia,2021-03-08T00:00:00Z,707.7882080078,3115.3959960938,9243.509765625
malaysia,2021-03-09T00:00:00Z,1022.5581665039,3313.3442382812,9602.919921875
malaysia,2021-03-10T00:00:00Z,1118.3159179688,3470.2683105469,9215.697265625
malaysia,2021-03-11T00:00:00Z,1184.1862792969,3451.1267089844,9592.4794921875
malaysia,2021-03-12T00:00:00Z,1076.7467041016,3379.0178222656,8653.77734375
malaysia,2021-03-13T00:00:00Z,856.9484863281,3223.2644042969,8978.0283203125
malaysia,2021-03-14T00:00:00Z,864.033996582,3120.9475097656,9820.892578125
malaysia,2021-03-15T00:00:00Z,816.3819580078,3162.9060058594,9313.611328125
malaysia,2021-03-16T00:00:00Z,930.6781616211,3112.884765625,9834.5947265625
malaysia,2021-03-17T00:00:00Z,978.3057861328,3531.8403320312,9977.94921875
malaysia,2021-03-18T00:00:00Z,719.4125366211,3054.0258789062,9497.392578125
malaysia,2021-03-19T00:00:00Z,767.0610351562,3339.1008300781,10594.388671875
malaysia,2021-03-20T00:00:00Z,712.8516235352,2915.1892089844,8979.7119140625
malaysia,2021-03-21T00:00:00Z,771.4566650391,2708.3054199219,9634.650390625
malaysia,2021-03-22T00:00:00Z,690.1052856445,2642.7224121094,9008.22265625
malaysia,2021-03-23T00:00:00Z,565.1923828125,2505.8725585938,8396.248046875
malaysia,2021-03-24T00:00:00Z,680.48046875,2999.2934570312,10347.107421875
malaysia,2021-03-25T00:00:00Z,595.3639526367,2994.0288085938,8714.7041015625
malaysia,2021-03-26T00:00:00Z,559.5823974609,2740.8344726562,8892.9228515625
malaysia,2021-03-27T00:00:00Z,584.9439697266,2453.5817871094,8428.1640625
malaysia,2021-03-28T00:00:00Z,662.7612304688,2354.7145996094,9370.2578125
malaysia,2021-03-29T00:00:00Z,353.7351989746,2058.3740234375,9115.8544921875
malaysia,2021-03-30T00:00:00Z,456.1721801758,2278.6684570312,9592.458984375
malaysia,2021-03-31T00:00:00Z,557.3530273438,2507.3332519531,8158.677734375
malaysia,2021-04-01T00:00:00Z,623.0822753906,2570.552734375,7708.6489257812
malaysia,2021-04-02T00:00:00Z,344.3028259277,2531.5405273438,8557.138671875
malaysia,2021-04-03T00:00:00Z,347.1020202637,2447.7368164062,7685.0405273438
malaysia,2021-04-04T00:00:00Z,392.4384765625,2423.5974121094,7340.681640625
malaysia,2021-04-05T00:00:00Z,239.9156188965,2115.4228515625,8237.87109375
malaysia,2021-04-06T00:00:00Z,298.1192016602,2328.6809082031,7967.7709960938
malaysia,2021-04-07T00:00:00Z,317.6415100098,2205.5061035156,7875.7841796875
malaysia,2021-04-08T00:00:00Z,380.790222168,2130.6701660156,7705.4721679688
malaysia,2021-04-09T00:00:00Z,354.0690917969,2166.2839355469,7927.7133789062
malaysia,2021-04-10T00:00:00Z,268.2342224121,2149.8725585938,7009.3369140625
malaysia,2021-04-11T00:00:00Z,174.078338623,1827.54296875,8077.7045898438
malaysia,2021-04-12T00:00:00Z,225.6345214844,1878.5338134766,7134.5166015625
malaysia,2021-04-13T00:00:00Z,156.9084472656,2056.2448730469,6621.6567382812
malaysia,2021-04-14T00:00:00Z,178.6028747559,2158.2302246094,7902.763671875
malaysia,2021-04-15T00:00:00Z,155.0690612793,2180.9499511719,8178.0073242188
malaysia,2021-04-16T00:00:00Z,202.4847106934,2077.7045898438,7826.3837890625
malaysia,2021-04-17T00:00:00Z,311.8101806641,1982.2436523438,7351.9174804688
malaysia,2021-04-18T00:00:00Z,169.5786437988,1923.9516601562,7178.9965820312
malaysia,2021-04-19T00:00:00Z,127.8289413452,1951.6958007812,7775.2465820312
malaysia,2021-04-20T00:00:00Z,188.4015655518,1823.0125732422,7392.583984375
malaysia,2021-04-21T00:00:00Z,213.4838867188,2054.8776855469,7430.1650390625
malaysia,2021-04-22T00:00:00Z,132.4839172363,1868.1683349609,7373.0322265625
malaysia,2021-04-23T00:00:00Z,174.7353668213,1895.9345703125,7104.8125
malaysia,2021-04-24T00:00:00Z,97.9584197998,1762.0003662109,7594.2685546875
malaysia,2021-04-25T00:00:00Z,128.9356536865,1762.5823974609,6997.7338867188
malaysia,2021-04-26T00:00:00Z,34.9162597656,1911.9870605469,7661.94921875
malaysia,2021-04-27T00:00:00Z,105.3048171997,1709.3210449219,6908.0659179688
malaysia,2021-04-28T00:00:00Z,123.3894805908,1871.3231201172,7088.1279296875
malaysia,2021-04-29T00:00:00Z,85.8932800293,1765.7686767578,7399.9921875
