item_id,date,p10,p50,p90
sri lanka,2021-01-30T00:00:00Z,657.0151977539,813.5769042969,976.7407226562
sri lanka,2021-01-31T00:00:00Z,581.4468994141,761.0667724609,963.1714477539
sri lanka,2021-02-01T00:00:00Z,532.7567138672,750.0322875977,991.3532104492
sri lanka,2021-02-02T00:00:00Z,535.2288208008,746.3609619141,1098.2055664062
sri lanka,2021-02-03T00:00:00Z,524.2576904297,808.9049072266,1195.1966552734
sri lanka,2021-02-04T00:00:00Z,506.1273498535,815.1656494141,1181.9952392578
sri lanka,2021-02-05T00:00:00Z,472.9260559082,784.7575073242,1113.1452636719
sri lanka,2021-02-06T00:00:00Z,501.928527832,756.1618652344,1087.0682373047
sri lanka,2021-02-07T00:00:00Z,445.1248168945,732.9456176758,1136.3487548828
sri lanka,2021-02-08T00:00:00Z,433.4506530762,657.1986694336,1157.5842285156
sri lanka,2021-02-09T00:00:00Z,409.117980957,689.8475341797,1139.9562988281
sri lanka,2021-02-10T00:00:00Z,443.6418457031,747.8615722656,1141.1875
sri lanka,2021-02-11T00:00:00Z,443.4056396484,741.5462646484,1310.2825927734
sri lanka,2021-02-12T00:00:00Z,342.2134399414,672.8563232422,1288.8505859375
sri lanka,2021-02-13T00:00:00Z,317.154510498,643.6272583008,1282.1358642578
sri lanka,2021-02-14T00:00:00Z,257.1987304688,615.8433227539,1240.5588378906
sri lanka,2021-02-15T00:00:00Z,284.4810791016,572.739440918,1212.6623535156
sri lanka,2021-02-16T00:00:00Z,282.7972412109,576.0256347656,1307.5714111328
sri lanka,2021-02-17T00:00:00Z,279.6665649414,594.3078613281,1278.115234375
sri lanka,2021-02-18T00:00:00Z,298.3920898438,584.577331543,1292.0107421875
sri lanka,2021-02-19T00:00:00Z,230.5463256836,582.3436279297,1337.9398193359
sri lanka,2021-02-20T00:00:00Z,225.2469940186,591.0741577148,1342.4122314453
sri lanka,2021-02-21T00:00:00Z,225.5004272461,571.9929199219,1192.9803466797
sri lanka,2021-02-22T00:00:00Z,149.7028503418,509.7778320312,1055.6813964844
sri lanka,2021-02-23T00:00:00Z,196.8479309082,530.3212890625,1166.1740722656
sri lanka,2021-02-24T00:00:00Z,164.8288421631,529.7075195312,1131.3308105469
sri lanka,2021-02-25T00:00:00Z,126.4522781372,543.7152099609,1194.1505126953
sri lanka,2021-02-26T00:00:00Z,187.9597167969,529.8569335938,1229.8582763672
sri lanka,2021-02-27T00:00:00Z,146.8862457275,492.265625,1149.9619140625
sri lanka,2021-02-28T00:00:00Z,126.6827850342,500.8042297363,1134.5170898438
sri lanka,2021-03-01T00:00:00Z,56.754863739,434.6690063477,1145.1546630859
sri lanka,2021-03-02T00:00:00Z,137.332901001,425.8666992188,1161.5296630859
sri lanka,2021-03-03T00:00:00Z,133.8475341797,470.8816833496,1283.1820068359
sri lanka,2021-03-04T00:00:00Z,86.7276611328,449.1357116699,1272.4396972656
sri lanka,2021-03-05T00:00:00Z,71.550239563,487.0278625488,1300.9307861328
sri lanka,2021-03-06T00:00:00Z,96.2046508789,427.3135986328,1275.7763671875
sri lanka,2021-03-07T00:00:00Z,68.9138183594,394.6863708496,1107.6563720703
sri lanka,2021-03-08T00:00:00Z,42.6758270264,370.7930603027,1075.9139404297
sri lanka,2021-03-09T00:00:00Z,83.330368042,382.1282043457,1175.3665771484
sri lanka,2021-03-10T00:00:00Z,105.908493042,391.005065918,1179.3718261719
sri lanka,2021-03-11T00:00:00Z,55.3796310425,411.7412719727,1247.9296875
sri lanka,2021-03-12T00:00:00Z,53.7440185547,368.3631591797,1205.1680908203
sri lanka,2021-03-13T00:00:00Z,52.1891860962,377.2551269531,1243.51171875
sri lanka,2021-03-14T00:00:00Z,28.9878253937,360.8271484375,1219.7674560547
sri lanka,2021-03-15T00:00:00Z,26.4426498413,304.6967468262,1080.6397705078
sri lanka,2021-03-16T00:00:00Z,22.5735588074,336.9648742676,1148.4196777344
sri lanka,2021-03-17T00:00:00Z,17.0550251007,338.6914672852,1174.96875
sri lanka,2021-03-18T00:00:00Z,-7.936000824,311.0714111328,1277.8712158203
sri lanka,2021-03-19T00:00:00Z,27.460395813,329.7459411621,1397.013671875
sri lanka,2021-03-20T00:00:00Z,18.1484394073,263.3096923828,1150.84375
sri lanka,2021-03-21T00:00:00Z,28.7137699127,261.8501281738,1122.3167724609
sri lanka,2021-03-22T00:00:00Z,-1.819560051,238.377456665,931.7340087891
sri lanka,2021-03-23T00:00:00Z,2.6577572823,240.9880828857,1045.7979736328
sri lanka,2021-03-24T00:00:00Z,-9.9207725525,273.0855102539,997.9111938477
sri lanka,2021-03-25T00:00:00Z,-11.6593914032,238.5699310303,1116.5607910156
sri lanka,2021-03-26T00:00:00Z,-10.7585601807,266.7790527344,1037.7264404297
sri lanka,2021-03-27T00:00:00Z,8.2917232513,230.0856781006,1081.9047851562
sri lanka,2021-03-28T00:00:00Z,-7.5561265945,219.915725708,1077.5052490234
sri lanka,2021-03-29T00:00:00Z,-39.9183692932,180.3505706787,730.2103271484
